number,filename,memorability
81,00051921.jpg,0.666667
82,00054175.jpg,0.820513
83,00001582.jpg,0.900000
84,00036460.jpg,0.894737
85,00046944.jpg,0.829787
86,00021224.jpg,0.818182
87,00018890.jpg,0.906977
88,00001517.jpg,0.923077
89,00008758.jpg,0.976744
90,00005149.jpg,0.805556
91,00006285.jpg,0.818182
92,00015557.jpg,0.765957
93,00011539.jpg,0.538462
94,00029699.jpg,0.538462
95,00002513.jpg,0.425000
96,00011331.jpg,0.808511
97,00048640.jpg,0.710526
98,00001836.jpg,0.955556
99,00015819.jpg,0.750000
100,00003579.jpg,0.948718
101,00050072.jpg,0.848485
102,00005697.jpg,0.833333
103,00025329.jpg,0.651163
104,00016543.jpg,0.750000
105,00020002.jpg,0.950000
106,00022673.jpg,0.888889
107,00006199.jpg,0.928571
108,00041369.jpg,0.948718
109,00056528.jpg,0.794118
110,00056735.jpg,0.636364
111,00036309.jpg,0.792453
112,00044180.jpg,0.651163
113,00044779.jpg,0.549020
114,00014301.jpg,0.829268
115,00042442.jpg,0.575758
116,00051924.jpg,0.878049
117,00028758.jpg,0.743590
118,00022689.jpg,0.780488
119,00057349.jpg,0.933333
120,00013485.jpg,0.800000
121,00050748.jpg,0.973684
122,00003130.jpg,0.930233
123,00013522.jpg,0.837838
124,00047073.jpg,0.543478
125,00013198.jpg,0.891304
126,00019263.jpg,0.820513
127,00049006.jpg,0.736842
128,00013532.jpg,0.864865
129,00054581.jpg,0.906977
130,00024860.jpg,0.925000
131,00023072.jpg,0.794872
132,00010781.jpg,0.815789
133,00010983.jpg,0.750000
134,00014667.jpg,0.733333
135,00043537.jpg,0.813953
136,00041936.jpg,0.837209
137,00003859.jpg,0.756757
138,00055929.jpg,0.923077
139,00041881.jpg,0.529412
140,00052493.jpg,0.911765
141,00057985.jpg,0.696970
142,00002890.jpg,0.918919
143,00043267.jpg,0.653061
144,00009832.jpg,0.522727
145,00022550.jpg,0.828571
146,00016131.jpg,0.829787
147,00046169.jpg,0.815789
148,00055416.jpg,0.800000
149,00023115.jpg,0.842105
150,00026855.jpg,0.809524
151,00004306.jpg,0.766667
152,00057597.jpg,0.909091
153,00047219.jpg,0.765957
154,00026946.jpg,0.657143
155,00013741.jpg,0.810811
156,00015196.jpg,0.809524
157,00053013.jpg,0.697674
158,00050084.jpg,0.906977
159,00051367.jpg,0.950000
160,00052676.jpg,0.933333
161,00040771.jpg,0.756757
162,00050990.jpg,1.000000
163,00048235.jpg,0.829268
164,00048979.jpg,0.966667
165,00049295.jpg,0.789474
166,00016970.jpg,0.850000
167,00045715.jpg,0.634146
168,00049764.jpg,0.695652
169,00056689.jpg,0.590909
170,00011278.jpg,0.760000
171,00044729.jpg,0.627907
172,00043302.jpg,0.780000
173,00026446.jpg,0.621622
174,00027410.jpg,0.714286
175,00029629.jpg,0.575758
176,00019252.jpg,0.514286
177,00004258.jpg,0.477273
178,00046759.jpg,0.782609
179,00050330.jpg,0.708333
180,00018622.jpg,0.853659
181,00033648.jpg,0.761905
182,00011687.jpg,0.545455
183,00008439.jpg,0.842105
184,00006954.jpg,0.971429
185,00024152.jpg,0.707317
186,00009079.jpg,0.666667
187,00025250.jpg,0.666667
188,00041679.jpg,0.707317
189,00052994.jpg,0.909091
190,00007173.jpg,0.780488
191,00047259.jpg,0.764706
192,00002514.jpg,0.871795
193,00047044.jpg,0.583333
194,00007327.jpg,0.545455
195,00058401.jpg,0.822222
196,00036415.jpg,0.648649
197,00050270.jpg,0.871795
198,00027539.jpg,0.700000
199,00009481.jpg,0.818182
200,00020884.jpg,0.857143
201,00047684.jpg,0.702703
202,00035789.jpg,0.794872
203,00051722.jpg,0.883721
204,00021187.jpg,0.731707
205,00013135.jpg,0.894737
206,00017336.jpg,0.947368
207,00049088.jpg,0.800000
208,00044597.jpg,0.780488
209,00017908.jpg,0.767442
210,00058483.jpg,0.755556
211,00032495.jpg,0.750000
212,00005664.jpg,0.850000
213,00041348.jpg,0.763158
214,00009089.jpg,0.777778
215,00052703.jpg,0.868421
216,00033020.jpg,0.794872
217,00020672.jpg,0.648649
218,00001515.jpg,0.888889
219,00052153.jpg,0.888889
220,00045066.jpg,0.825000
221,00043637.jpg,0.714286
222,00004264.jpg,0.525000
223,00015955.jpg,0.882353
224,00016609.jpg,0.733333
225,00005023.jpg,0.755556
226,00040383.jpg,0.527778
227,00053195.jpg,0.953488
228,00018733.jpg,0.818182
229,00039140.jpg,0.666667
230,00019420.jpg,0.575000
231,00027832.jpg,0.738095
232,00004715.jpg,0.704545
233,00053152.jpg,0.804878
234,00004362.jpg,0.744186
235,00041439.jpg,0.736842
236,00032935.jpg,0.930233
237,00051960.jpg,0.837209
238,00022853.jpg,0.727273
239,00043897.jpg,0.760870
240,00029083.jpg,0.638889
241,00057168.jpg,0.761905
242,00028507.jpg,0.810811
243,00038056.jpg,0.756098
244,00048702.jpg,0.468750
245,00049587.jpg,0.828571
246,00018350.jpg,0.763158
247,00034935.jpg,0.702703
248,00012706.jpg,0.700000
249,00057104.jpg,0.764706
250,00041160.jpg,0.772727
251,00050548.jpg,0.813953
252,00008887.jpg,0.928571
253,00007444.jpg,0.702128
254,00028466.jpg,0.588235
255,00002760.jpg,0.750000
256,00048960.jpg,0.897436
257,00031934.jpg,0.844444
258,00020420.jpg,0.571429
259,00016990.jpg,0.782609
260,00003915.jpg,0.386364
261,00045074.jpg,0.636364
262,00040390.jpg,0.878049
263,00056299.jpg,0.750000
264,00009211.jpg,0.902439
265,00011081.jpg,0.634146
266,00037787.jpg,0.685714
267,00031101.jpg,0.948718
268,00032314.jpg,0.487805
269,00018719.jpg,0.604651
270,00033667.jpg,0.411765
271,00036166.jpg,0.851064
272,00058242.jpg,0.780488
273,00001463.jpg,0.906250
274,00033733.jpg,0.789474
275,00008729.jpg,0.452381
276,00020546.jpg,0.891304
277,00026845.jpg,0.675676
278,00012445.jpg,0.853659
279,00044681.jpg,0.828571
280,00014681.jpg,0.711111
281,00000123.jpg,0.736842
282,00054593.jpg,0.750000
283,00012885.jpg,0.741935
284,00026258.jpg,0.833333
285,00054752.jpg,0.780488
286,00051536.jpg,0.560976
287,00016653.jpg,0.864865
288,00004596.jpg,0.853659
289,00040176.jpg,0.838710
290,00030036.jpg,0.750000
291,00022905.jpg,0.848485
292,00034556.jpg,0.465116
293,00006403.jpg,0.729730
294,00013260.jpg,0.631579
295,00036336.jpg,0.804878
296,00053197.jpg,0.750000
297,00046179.jpg,0.538462
298,00018017.jpg,0.790698
299,00010746.jpg,0.674419
300,00016147.jpg,0.808511
301,00041097.jpg,0.756757
302,00008737.jpg,0.708333
303,00014675.jpg,0.750000
304,00030367.jpg,0.607143
305,00032118.jpg,0.783784
306,00039789.jpg,0.590909
307,00006495.jpg,0.744186
308,00040612.jpg,0.621622
309,00004007.jpg,0.617021
310,00019708.jpg,0.525000
311,00032406.jpg,0.829268
312,00026728.jpg,0.935484
313,00035162.jpg,0.777778
314,00050831.jpg,0.826087
315,00022245.jpg,0.857143
316,00038478.jpg,0.687500
317,00053634.jpg,0.897436
318,00018637.jpg,0.767442
319,00020583.jpg,0.950000
320,00023365.jpg,0.780488
321,00025047.jpg,0.925000
322,00034877.jpg,0.953488
323,00049023.jpg,0.852941
324,00035552.jpg,0.871795
325,00016563.jpg,0.820513
326,00054767.jpg,0.857143
327,00032924.jpg,0.567568
328,00031094.jpg,0.790698
329,00013763.jpg,0.764706
330,00010902.jpg,0.842105
331,00042089.jpg,0.594595
332,00021613.jpg,0.666667
333,00023468.jpg,0.755556
334,00027209.jpg,0.675000
335,00010008.jpg,0.681818
336,00039671.jpg,0.736842
337,00050783.jpg,0.883721
338,00041236.jpg,0.657895
339,00002480.jpg,0.500000
340,00018501.jpg,0.809524
341,00027072.jpg,0.795455
342,00037716.jpg,0.528302
343,00021014.jpg,0.760870
344,00036347.jpg,0.815789
345,00047521.jpg,0.815789
346,00040301.jpg,0.844444
347,00026647.jpg,0.736842
348,00041912.jpg,0.837209
349,00018357.jpg,0.630435
350,00002027.jpg,0.631579
351,00051115.jpg,0.888889
352,00042918.jpg,0.871795
353,00015339.jpg,0.837209
354,00056789.jpg,0.682927
355,00022140.jpg,0.847826
356,00009012.jpg,0.860465
357,00056843.jpg,0.511628
358,00018910.jpg,0.613636
359,00037423.jpg,0.825000
360,00030735.jpg,0.615385
361,00035286.jpg,0.644444
362,00023865.jpg,0.744186
363,00003181.jpg,0.666667
364,00040091.jpg,0.666667
365,00034164.jpg,0.893617
366,00047425.jpg,0.775000
367,00022739.jpg,0.775000
368,00006483.jpg,0.812500
369,00010914.jpg,0.477273
370,00007127.jpg,0.738095
371,00028373.jpg,0.846154
372,00003080.jpg,0.763158
373,00054491.jpg,0.854167
374,00047226.jpg,0.725000
375,00010067.jpg,0.875000
376,00043756.jpg,0.952381
377,00023725.jpg,0.714286
378,00039049.jpg,0.711111
379,00041005.jpg,0.782609
380,00003377.jpg,0.743590
381,00007452.jpg,0.630435
382,00054253.jpg,0.852941
383,00054552.jpg,0.738095
384,00043259.jpg,0.810811
385,00025168.jpg,0.833333
386,00024867.jpg,0.441860
387,00056020.jpg,0.756757
388,00008257.jpg,0.794872
389,00049620.jpg,0.848485
390,00051818.jpg,0.767442
391,00058430.jpg,0.487179
392,00024494.jpg,0.857143
393,00043932.jpg,0.666667
394,00045883.jpg,0.750000
395,00017445.jpg,0.763158
396,00035852.jpg,0.650000
397,00044502.jpg,0.724138
398,00054078.jpg,0.853659
399,00057982.jpg,0.750000
400,00015045.jpg,0.931818
401,00013680.jpg,0.869565
402,00025838.jpg,0.925000
403,00045716.jpg,0.605263
404,00005254.jpg,0.794118
405,00057171.jpg,0.911765
406,00015158.jpg,0.558140
407,00039095.jpg,0.583333
408,00000448.jpg,0.828571
409,00053082.jpg,0.647059
410,00017544.jpg,0.684211
411,00010110.jpg,0.627907
412,00023031.jpg,0.733333
413,00020616.jpg,0.750000
414,00011672.jpg,0.787234
415,00047731.jpg,0.657143
416,00050558.jpg,0.825000
417,00019963.jpg,0.682927
418,00006237.jpg,0.782609
419,00010511.jpg,0.714286
420,00018036.jpg,0.860465
421,00010971.jpg,0.589744
422,00005188.jpg,0.810811
423,00021834.jpg,0.676471
424,00005180.jpg,0.697674
425,00043718.jpg,0.775000
426,00041975.jpg,0.846154
427,00020221.jpg,0.794118
428,00008759.jpg,0.764706
429,00016506.jpg,0.641026
430,00008140.jpg,0.800000
431,00057844.jpg,0.625000
432,00043510.jpg,0.631579
433,00043084.jpg,0.634615
434,00008797.jpg,0.638889
435,00049691.jpg,0.657895
436,00039644.jpg,0.625000
437,00018451.jpg,0.951220
438,00048773.jpg,0.800000
439,00043336.jpg,0.725000
440,00020349.jpg,0.684211
441,00027023.jpg,0.641026
442,00035097.jpg,0.659574
443,00020933.jpg,0.800000
444,00028903.jpg,0.906977
445,00011036.jpg,0.750000
446,00038860.jpg,0.805556
447,00001539.jpg,0.787879
448,00004930.jpg,0.764706
449,00047203.jpg,0.674419
450,00039573.jpg,0.760870
451,00032156.jpg,0.657895
452,00009310.jpg,0.896552
453,00026234.jpg,0.694444
454,00044184.jpg,0.954545
455,00042601.jpg,0.707317
456,00022780.jpg,0.977778
457,00046761.jpg,0.675676
458,00003138.jpg,0.725000
459,00031491.jpg,0.631579
460,00027950.jpg,0.631579
461,00049260.jpg,0.804878
462,00010496.jpg,0.804348
463,00047996.jpg,0.804878
464,00038645.jpg,0.638889
465,00014257.jpg,0.825000
466,00044223.jpg,0.666667
467,00042513.jpg,0.869565
468,00004324.jpg,0.790698
469,00004869.jpg,0.531915
470,00007928.jpg,0.522727
471,00017741.jpg,0.500000
472,00011818.jpg,0.435897
473,00004397.jpg,0.847826
474,00028708.jpg,0.916667
475,00046987.jpg,0.756757
476,00042428.jpg,0.673913
477,00000872.jpg,0.813953
478,00038828.jpg,0.886364
479,00047603.jpg,0.439024
480,00022967.jpg,0.897436
481,00045556.jpg,0.576923
482,00048619.jpg,0.627907
483,00006183.jpg,0.740741
484,00022401.jpg,0.945946
485,00005487.jpg,0.794118
486,00027754.jpg,0.714286
487,00055024.jpg,0.777778
488,00046082.jpg,0.810811
489,00026425.jpg,0.694444
490,00041429.jpg,0.674419
491,00039933.jpg,0.891892
492,00054473.jpg,0.884615
493,00007288.jpg,0.787234
494,00027309.jpg,0.795455
495,00043887.jpg,0.820513
496,00041495.jpg,0.795455
497,00054474.jpg,0.735294
498,00017141.jpg,0.878788
499,00038826.jpg,0.771429
500,00037730.jpg,0.644444
501,00007377.jpg,0.600000
502,00004010.jpg,0.500000
503,00054647.jpg,0.925000
504,00051321.jpg,0.666667
505,00033772.jpg,0.743590
506,00058465.jpg,0.666667
507,00022593.jpg,0.857143
508,00055170.jpg,0.608696
509,00016136.jpg,0.734694
510,00024942.jpg,0.777778
511,00010587.jpg,0.722222
512,00027601.jpg,0.909091
513,00035338.jpg,0.658537
514,00046077.jpg,0.729730
515,00057785.jpg,0.959184
516,00007970.jpg,0.891892
517,00040252.jpg,0.800000
518,00042948.jpg,0.459459
519,00019490.jpg,0.720930
520,00053302.jpg,0.827586
521,00041864.jpg,0.571429
522,00008391.jpg,0.861111
523,00034604.jpg,0.711111
524,00001841.jpg,0.880952
525,00038003.jpg,0.648649
526,00007395.jpg,0.818182
527,00048431.jpg,0.815789
528,00023075.jpg,0.697674
529,00029190.jpg,0.809524
530,00041854.jpg,0.341463
531,00050404.jpg,0.818182
532,00054008.jpg,0.938776
533,00047180.jpg,0.743590
534,00056314.jpg,0.954545
535,00046371.jpg,0.684211
536,00021078.jpg,0.903226
537,00032620.jpg,0.722222
538,00018727.jpg,0.828571
539,00038899.jpg,0.659091
540,00005277.jpg,0.878788
541,00025281.jpg,0.833333
542,00057453.jpg,0.828571
543,00007671.jpg,0.808511
544,00031942.jpg,0.755556
545,00002580.jpg,0.794872
546,00041932.jpg,0.590909
547,00045848.jpg,0.621622
548,00029828.jpg,0.711111
549,00041883.jpg,0.631579
550,00005929.jpg,0.891892
551,00026596.jpg,0.763158
552,00008666.jpg,0.820513
553,00010491.jpg,0.685714
554,00012235.jpg,0.800000
555,00004826.jpg,0.631579
556,00029016.jpg,0.794118
557,00058168.jpg,0.621622
558,00043742.jpg,0.886364
559,00049144.jpg,0.875000
560,00046362.jpg,0.790698
561,00023240.jpg,0.863636
562,00005707.jpg,0.864865
563,00047685.jpg,0.707317
564,00047456.jpg,0.853659
565,00046420.jpg,0.714286
566,00045645.jpg,0.804878
567,00008234.jpg,0.600000
568,00009771.jpg,0.756757
569,00043618.jpg,0.720930
570,00001833.jpg,0.738095
571,00018104.jpg,0.555556
572,00057370.jpg,0.815789
573,00010271.jpg,0.875000
574,00006837.jpg,0.651163
575,00016114.jpg,1.000000
576,00035206.jpg,0.522727
577,00046290.jpg,0.810811
578,00012935.jpg,0.761905
579,00058623.jpg,0.894737
580,00022528.jpg,0.868421
581,00040710.jpg,0.794118
582,00011403.jpg,0.825000
583,00016849.jpg,0.851852
584,00007616.jpg,0.658537
585,00019092.jpg,0.833333
586,00023850.jpg,0.882353
587,00033024.jpg,0.878049
588,00027828.jpg,0.895833
589,00015480.jpg,0.512821
590,00034073.jpg,0.863636
591,00057818.jpg,0.555556
592,00057686.jpg,0.487805
593,00033311.jpg,0.914286
594,00030276.jpg,0.809524
595,00029253.jpg,0.783784
596,00039196.jpg,0.674419
597,00001605.jpg,0.777778
598,00049221.jpg,0.717391
599,00015973.jpg,0.648649
600,00001103.jpg,0.647059
601,00029963.jpg,0.942857
602,00020186.jpg,0.875000
603,00031496.jpg,0.951220
604,00038359.jpg,0.710526
605,00014598.jpg,0.744186
606,00027912.jpg,0.878049
607,00024807.jpg,0.935484
608,00055248.jpg,0.714286
609,00003510.jpg,0.972973
610,00005992.jpg,0.673913
611,00027645.jpg,0.645161
612,00027595.jpg,0.828571
613,00023074.jpg,0.866667
614,00011783.jpg,0.875000
615,00034158.jpg,0.684211
616,00041413.jpg,0.812500
617,00015869.jpg,0.681818
618,00008626.jpg,0.804348
619,00004188.jpg,0.674419
620,00009468.jpg,0.791667
621,00002573.jpg,0.765957
622,00014966.jpg,0.562500
623,00039395.jpg,0.705882
624,00044553.jpg,0.923077
625,00040630.jpg,0.861111
626,00051798.jpg,0.789474
627,00032320.jpg,0.702703
628,00044631.jpg,0.687500
629,00007487.jpg,0.674419
630,00000772.jpg,0.750000
631,00054185.jpg,0.625000
632,00011602.jpg,0.956522
633,00013782.jpg,0.627907
634,00044646.jpg,0.729730
635,00046733.jpg,0.525000
636,00022447.jpg,0.760870
637,00040862.jpg,0.736842
638,00007138.jpg,0.755556
639,00046802.jpg,0.750000
640,00039156.jpg,0.853659
641,00017922.jpg,0.710526
642,00024082.jpg,0.743590
643,00041582.jpg,0.750000
644,00049890.jpg,0.632653
645,00014443.jpg,0.790698
646,00012056.jpg,0.925000
647,00020376.jpg,0.720000
648,00046559.jpg,0.722222
649,00016424.jpg,0.727273
650,00044340.jpg,0.857143
651,00028348.jpg,0.775000
652,00015474.jpg,0.812500
653,00033696.jpg,0.525000
654,00028268.jpg,0.650000
655,00049560.jpg,0.729730
656,00028051.jpg,0.731707
657,00023805.jpg,0.850000
658,00037873.jpg,0.553191
659,00012040.jpg,0.707317
660,00025645.jpg,0.805556
661,00022018.jpg,0.755556
662,00009053.jpg,0.648649
663,00032362.jpg,0.200000
664,00013558.jpg,0.605263
665,00001643.jpg,0.756098
666,00037551.jpg,0.707317
667,00042316.jpg,0.750000
668,00052075.jpg,0.828571
669,00044222.jpg,0.692308
670,00026631.jpg,0.612903
671,00055413.jpg,0.761905
672,00025829.jpg,0.833333
673,00046091.jpg,0.883721
674,00036854.jpg,0.666667
675,00035511.jpg,0.880000
676,00007744.jpg,0.809524
677,00052144.jpg,0.631579
678,00052469.jpg,0.837838
679,00042542.jpg,0.785714
680,00012425.jpg,0.459459
681,00053711.jpg,0.722222
682,00026825.jpg,0.750000
683,00018860.jpg,0.315789
684,00034249.jpg,0.833333
685,00047074.jpg,0.538462
686,00011358.jpg,0.769231
687,00004680.jpg,0.818182
688,00051506.jpg,0.775510
689,00039556.jpg,0.843750
690,00004390.jpg,0.829268
691,00043728.jpg,0.772727
692,00056768.jpg,0.825000
693,00051648.jpg,0.904762
694,00023030.jpg,0.928571
695,00016433.jpg,0.622222
696,00041943.jpg,0.696970
697,00039680.jpg,0.822222
698,00019768.jpg,0.525000
699,00034289.jpg,0.739130
700,00012899.jpg,0.805556
701,00049891.jpg,0.880952
702,00049209.jpg,0.818182
703,00036346.jpg,0.636364
704,00013425.jpg,0.921053
705,00057046.jpg,0.866667
706,00012880.jpg,0.560976
707,00001373.jpg,0.552632
708,00023626.jpg,0.880952
709,00021874.jpg,0.846154
710,00045806.jpg,0.787879
711,00031440.jpg,0.681818
712,00045980.jpg,0.800000
713,00016636.jpg,0.780488
714,00021606.jpg,0.918919
715,00028595.jpg,0.693878
716,00054347.jpg,0.666667
717,00043783.jpg,0.666667
718,00033825.jpg,0.789474
719,00023531.jpg,0.750000
720,00030052.jpg,0.722222
721,00045058.jpg,0.775510
722,00049668.jpg,0.868421
723,00048173.jpg,0.666667
724,00057618.jpg,0.625000
725,00032350.jpg,0.744681
726,00000099.jpg,0.837209
727,00034711.jpg,0.425926
728,00034947.jpg,0.571429
729,00011765.jpg,0.739130
730,00010745.jpg,0.600000
731,00012185.jpg,0.736842
732,00008852.jpg,0.674419
733,00020833.jpg,0.641026
734,00040314.jpg,0.605263
735,00054730.jpg,0.885714
736,00042823.jpg,0.750000
737,00029474.jpg,0.675000
738,00019861.jpg,0.880952
739,00036707.jpg,0.615385
740,00057827.jpg,0.973684
741,00028177.jpg,0.825000
742,00021997.jpg,0.813953
743,00039033.jpg,0.692308
744,00039868.jpg,0.571429
745,00056516.jpg,0.566667
746,00015622.jpg,0.685714
747,00034558.jpg,0.875000
748,00014955.jpg,0.942857
749,00034174.jpg,0.457143
750,00030732.jpg,0.717391
751,00052011.jpg,0.894737
752,00053904.jpg,0.794118
753,00004388.jpg,0.911765
754,00041491.jpg,0.860465
755,00056739.jpg,0.882353
756,00058712.jpg,0.800000
757,00046358.jpg,0.809524
758,00025214.jpg,0.937500
759,00018260.jpg,0.710526
760,00026093.jpg,0.800000
761,00051819.jpg,0.977273
762,00033788.jpg,0.925000
763,00052164.jpg,0.704545
764,00023804.jpg,0.744681
765,00005506.jpg,0.781250
766,00015346.jpg,0.860465
767,00051165.jpg,0.657895
768,00006964.jpg,0.906977
769,00029387.jpg,0.771429
770,00041752.jpg,0.812500
771,00003985.jpg,0.700000
772,00004521.jpg,0.763158
773,00031941.jpg,0.736842
774,00042231.jpg,0.840909
775,00033776.jpg,0.600000
776,00041885.jpg,0.583333
777,00046881.jpg,0.945946
778,00033077.jpg,1.000000
779,00014416.jpg,0.622222
780,00047888.jpg,0.704545
781,00040310.jpg,0.804878
782,00004039.jpg,0.577778
783,00023387.jpg,0.690476
784,00029779.jpg,0.815789
785,00056126.jpg,0.690476
786,00044868.jpg,0.769231
787,00037972.jpg,0.808511
788,00043392.jpg,0.948718
789,00052426.jpg,0.951220
790,00026952.jpg,0.883721
791,00044661.jpg,0.868421
792,00004493.jpg,0.972222
793,00041842.jpg,0.800000
794,00033982.jpg,0.647059
795,00032548.jpg,0.756098
796,00034459.jpg,0.731707
797,00033630.jpg,0.744186
798,00051737.jpg,0.781250
799,00012395.jpg,0.857143
800,00047823.jpg,0.673913
801,00043329.jpg,0.710526
802,00047756.jpg,0.902439
803,00029533.jpg,0.923077
804,00040401.jpg,0.543478
805,00029090.jpg,0.806452
806,00046931.jpg,0.717949
807,00053353.jpg,0.710526
808,00000746.jpg,0.804878
809,00051753.jpg,0.857143
810,00033682.jpg,0.682927
811,00030448.jpg,0.617647
812,00020556.jpg,0.928571
813,00033600.jpg,0.695652
814,00036775.jpg,0.634146
815,00047390.jpg,0.857143
816,00015409.jpg,0.761905
817,00010875.jpg,0.911765
818,00049563.jpg,0.711111
819,00020586.jpg,0.800000
820,00019147.jpg,0.775000
821,00039649.jpg,0.720930
822,00049075.jpg,0.717949
823,00022098.jpg,0.820513
824,00034992.jpg,0.805556
825,00053790.jpg,0.682927
826,00054501.jpg,0.837838
827,00002841.jpg,0.707317
828,00051524.jpg,0.658537
829,00056458.jpg,0.880952
830,00055049.jpg,0.886364
831,00020728.jpg,0.647059
832,00019727.jpg,0.558824
833,00034591.jpg,0.825000
834,00053645.jpg,0.787879
835,00023010.jpg,0.937500
836,00040786.jpg,0.783784
837,00022264.jpg,0.743590
838,00026875.jpg,0.880952
839,00003198.jpg,0.756757
840,00023909.jpg,0.717949
841,00028413.jpg,0.894737
842,00008000.jpg,0.891892
843,00018568.jpg,0.828571
844,00035258.jpg,0.527778
845,00049169.jpg,0.704545
846,00054235.jpg,0.675000
847,00014170.jpg,0.769231
848,00026032.jpg,0.604651
849,00006494.jpg,0.820513
850,00048826.jpg,0.878049
851,00002563.jpg,0.578947
852,00004806.jpg,0.790698
853,00030287.jpg,0.790698
854,00054826.jpg,0.954545
855,00023478.jpg,0.514286
856,00025636.jpg,0.692308
857,00021614.jpg,0.945946
858,00005548.jpg,0.950000
859,00026272.jpg,0.891892
860,00029579.jpg,0.808511
861,00033619.jpg,0.681818
862,00058348.jpg,0.767442
863,00011848.jpg,0.772727
864,00041152.jpg,0.750000
865,00002192.jpg,0.833333
866,00005535.jpg,0.684211
867,00049439.jpg,0.500000
868,00020918.jpg,0.871795
869,00006526.jpg,0.871795
870,00019800.jpg,0.853659
871,00004767.jpg,0.638889
872,00024469.jpg,0.820513
873,00009975.jpg,0.783784
874,00031353.jpg,0.558824
875,00030940.jpg,0.750000
876,00019326.jpg,0.658537
877,00026643.jpg,0.755556
878,00008075.jpg,0.631579
879,00037240.jpg,0.738095
880,00046279.jpg,0.764706
881,00044712.jpg,0.931818
882,00015930.jpg,0.644444
883,00011481.jpg,0.944444
884,00003249.jpg,0.717391
885,00011829.jpg,0.538462
886,00052784.jpg,0.850000
887,00026906.jpg,0.852941
888,00032154.jpg,0.405405
889,00002699.jpg,0.947368
890,00008468.jpg,0.558140
891,00008171.jpg,0.488889
892,00007982.jpg,0.595745
893,00006413.jpg,0.702703
894,00046149.jpg,0.761905
895,00046209.jpg,0.738095
896,00025373.jpg,0.906977
897,00051384.jpg,0.794118
898,00056663.jpg,0.594595
899,00024940.jpg,0.500000
900,00055924.jpg,0.926829
901,00056292.jpg,0.675676
902,00028123.jpg,0.525000
903,00026048.jpg,0.771429
904,00009576.jpg,0.934783
905,00023080.jpg,0.750000
906,00020658.jpg,0.717949
907,00015340.jpg,0.850000
908,00056988.jpg,0.783784
909,00019137.jpg,0.777778
910,00015822.jpg,0.809524
911,00051223.jpg,0.883721
912,00036612.jpg,0.525000
913,00015349.jpg,0.714286
914,00013172.jpg,0.704545
915,00052961.jpg,0.843750
916,00053913.jpg,0.771429
917,00013122.jpg,0.952381
918,00011002.jpg,0.909091
919,00031843.jpg,0.738095
920,00017972.jpg,0.853659
921,00019652.jpg,0.810811
922,00000174.jpg,0.717949
923,00014877.jpg,0.875000
924,00056127.jpg,1.000000
925,00023918.jpg,0.729730
926,00008431.jpg,0.625000
927,00042210.jpg,0.451613
928,00014709.jpg,0.750000
929,00053812.jpg,0.650000
930,00000333.jpg,0.692308
931,00039217.jpg,0.850000
932,00042227.jpg,0.690476
