image number,scene category,filename,hits,misses,false_alarms,correct_rejections
51,badlands,sun_abhagkrdtsffboqc.jpg,42,29,26,52
52,tower,sun_abhbbcngqrtquupy.jpg,62,12,30,55
53,airport_terminal,sun_abhgxjqmsyeptisq.jpg,61,18,15,73
54,amusement_park,sun_abjkjkpuknapfhzy.jpg,59,6,0,80
55,kitchen,sun_abjllhhfuvcygwtk.jpg,47,24,22,62
56,tower,sun_abjpqyitpgiyvdag.jpg,37,26,18,54
57,bathroom,sun_abjtwfukuwddzted.jpg,55,19,2,81
58,lighthouse,sun_abkstwzojgoqsahz.jpg,49,20,9,75
59,bathroom,sun_abktjgdhjcircubi.jpg,56,18,5,75
60,bedroom,sun_abkzhpaluuxwcfdk.jpg,40,23,7,61
61,bedroom,sun_abmenhebvjhdawgh.jpg,52,32,15,75
62,living_room,sun_abmhxsodaptaogbq.jpg,39,28,12,61
63,airport_terminal,sun_abozsykcfwpbtpkw.jpg,67,13,19,70
64,airport_terminal,sun_abrlnvzmqklirrnl.jpg,63,9,9,71
65,tower,sun_abslwerhfnhlflfk.jpg,35,33,14,67
66,kitchen,sun_absqagjbuzuvhboj.jpg,47,37,6,85
67,bedroom,sun_abtzlpozyewbfhrb.jpg,62,28,4,97
68,castle,sun_abubwfwgqybscyda.jpg,34,22,2,64
69,castle,sun_abuldebqsgrrlwqz.jpg,64,18,16,72
70,amusement_park,sun_abvemrbhejpzgeqi.jpg,66,7,4,85
71,bathroom,sun_abwbbibjamkycqvp.jpg,47,21,16,60
72,kitchen,sun_abwkecxdrvamjxlk.jpg,46,23,10,66
73,golf_course,sun_abwwevvzrincpcjk.jpg,45,28,17,60
74,bedroom,sun_abycukxhccunypwt.jpg,57,7,3,70
75,amusement_park,sun_abysfcvgcetptqxa.jpg,62,18,6,80
76,bedroom,sun_acasjvntjjxylhpl.jpg,50,23,10,73
77,lighthouse,sun_acazobrihdmvbuks.jpg,52,24,2,83
78,tower,sun_acblkvxbnfxclplc.jpg,53,16,21,54
79,living_room,sun_acdgufoamnnvlkuy.jpg,42,29,1,78
80,kitchen,sun_acdlgczjpwkeuvgy.jpg,44,29,10,70
81,bedroom,sun_aceiiuzodjociwmu.jpg,57,13,15,58
82,golf_course,sun_acfgivghaydjibik.jpg,37,37,7,75
83,kitchen,sun_acgxyyrqtufcunpm.jpg,47,26,11,68
84,tower,sun_acjckzlqzrxchaza.jpg,58,10,12,65
85,castle,sun_aclmldsixkubrlmd.jpg,43,34,9,76
86,lighthouse,sun_acltivpliapuskth.jpg,60,14,7,74
87,bedroom,sun_acmaspbgkutychfz.jpg,43,33,6,80
88,cockpit,sun_acnupvghpxjsbocf.jpg,42,23,12,67
89,kitchen,sun_acnxqvumxuhphsox.jpg,45,31,4,76
90,castle,sun_acoonifeggixycob.jpg,36,40,2,79
91,golf_course,sun_acoxbobhnhxypste.jpg,37,40,3,85
92,bedroom,sun_acpzibyxmcpckmtf.jpg,55,19,16,61
93,bedroom,sun_acqsqjhtcbxeomux.jpg,29,45,2,80
94,living_room,sun_acrjbaqsglaoxven.jpg,45,26,6,75
95,bathroom,sun_acsgbuurtwghzjel.jpg,44,36,6,76
96,tower,sun_acsidxncfmzcpgad.jpg,39,28,20,56
97,bathroom,sun_acsximawktgupevi.jpg,48,29,18,70
98,airport_terminal,sun_actnsdjpqgtzjwcw.jpg,56,17,3,77
99,lighthouse,sun_actxtxfsdcbahbfb.jpg,55,16,11,67
100,lighthouse,sun_acvdyscybrccdwxb.jpg,60,29,3,98
101,kitchen,sun_acvfpwuanalbvjax.jpg,57,11,0,80
102,amusement_park,sun_acvspbpkzomoaigv.jpg,38,26,2,69
103,lighthouse,sun_acwnrqqskyrdrqpt.jpg,55,17,0,81
104,lighthouse,sun_acxnzkubtrrcyvpu.jpg,58,26,6,86
105,cockpit,sun_acyqgxqnhgfbmawp.jpg,50,21,22,57
106,bedroom,sun_aczvfkivaekpfpsr.jpg,34,34,12,69
107,amusement_park,sun_aczwgyukesaajxnx.jpg,53,14,8,65
108,castle,sun_adayphpxynntilqc.jpg,54,25,5,89
109,cockpit,sun_adbkymqhrojsysnn.jpg,69,9,12,75
110,cockpit,sun_adbmwyujnswnooci.jpg,63,3,8,66
111,lighthouse,sun_adbopabhpxqjbbmf.jpg,24,49,2,79
112,kitchen,sun_adbqeafhnziimllv.jpg,36,32,15,63
113,tower,sun_adbvhfyprnxkoyox.jpg,32,29,13,57
114,cockpit,sun_addtuvmgwajlldow.jpg,50,21,25,54
115,castle,sun_adehddycgcokjyqy.jpg,28,42,10,75
116,lighthouse,sun_adgbprucwegckehq.jpg,62,26,12,85
117,airport_terminal,sun_adgdwcyvmegvkhww.jpg,57,18,23,60
118,conference_room,sun_adhfdpqdtxovgeaw.jpg,52,19,13,68
119,bedroom,sun_adilgvemwplwgfxt.jpg,47,17,11,60
120,bedroom,sun_adktewkeijgkzses.jpg,52,15,2,77
121,cockpit,sun_adlvppbjxqujsvop.jpg,49,24,50,31
122,amusement_park,sun_admfflktpyhrmrgo.jpg,53,12,2,72
123,bedroom,sun_admjoyovhneitbgo.jpg,56,17,9,75
124,living_room,sun_admopryvcnujmcez.jpg,57,20,10,73
125,kitchen,sun_admzmthmjgmaimfo.jpg,54,27,15,69
126,airport_terminal,sun_adojlmejvaqzgrcu.jpg,39,24,12,61
127,bathroom,sun_adqdtdtzyjgjyhaa.jpg,34,22,11,57
128,bathroom,sun_adququhqijofxndk.jpg,54,32,8,85
129,dining_room,sun_adsloibsvakpcwfm.jpg,45,35,4,87
130,bedroom,sun_adumjfzhcgdtdrtn.jpg,58,18,4,81
131,bedroom,sun_aduqewuvfehllwdd.jpg,62,15,24,62
132,airport_terminal,sun_advkvazcsyvkumig.jpg,51,19,7,76
133,castle,sun_advuoabppjswkfht.jpg,68,17,3,84
134,airport_terminal,sun_adwhvoekbdqbcfoo.jpg,62,20,15,81
135,kitchen,sun_adysrrgnddvmloix.jpg,54,26,6,82
136,cockpit,sun_adyukidgfhckseyu.jpg,34,30,10,64
137,kitchen,sun_adzadpbmztekfiwh.jpg,45,35,13,76
138,airport_terminal,sun_aebnrieebfokejpz.jpg,56,15,3,76
139,bedroom,sun_aebuzkmlodzaoqap.jpg,58,18,2,82
140,golf_course,sun_aeexmpppqflyfmjn.jpg,50,22,7,73
141,tower,sun_aefrhijitbwwljon.jpg,42,31,13,65
142,cockpit,sun_aefwrcssnodgxsri.jpg,60,27,18,79
143,kitchen,sun_aehkkaenyyjnewst.jpg,49,23,7,74
144,cockpit,sun_aeicxhxpgpwboomv.jpg,46,23,21,53
145,cockpit,sun_aeimiowhkrapkqvg.jpg,73,11,19,72
146,highway,sun_aeiqdwbssdzmbqec.jpg,37,36,9,75
147,bedroom,sun_aekglifnwjeigwms.jpg,40,32,5,70
148,badlands,sun_aekkynucosyodgdj.jpg,77,7,6,85
149,kitchen,sun_aekutbaiequswdvq.jpg,42,24,1,72
150,bedroom,sun_aelehldfgydgenba.jpg,68,8,3,85
151,kitchen,sun_aelpnoofufvvqqhf.jpg,46,28,26,59
152,dining_room,sun_aemjedzhnklgyqot.jpg,52,16,5,70
153,bedroom,sun_aemtxvkmowlcrlqk.jpg,55,30,25,69
154,tower,sun_aesdwymqhhiewhyo.jpg,37,29,18,59
155,kitchen,sun_aesgvyjjesleubcl.jpg,61,13,5,81
156,airport_terminal,sun_aesovualhburmfhn.jpg,50,26,12,76
157,bedroom,sun_aesphzdvqecnzmqm.jpg,54,19,5,77
158,tower,sun_aesreevxcaupupvk.jpg,46,20,8,71
159,bedroom,sun_aeszexqhaaojziht.jpg,35,47,3,85
160,cockpit,sun_aetenvxvczoydwwk.jpg,57,23,3,86
161,kitchen,sun_aeueynscrgoqixur.jpg,26,31,5,64
162,bathroom,sun_aeuoutufodsfuimp.jpg,41,42,9,83
163,bedroom,sun_aevdgjmaqqcdklnf.jpg,47,36,5,83
164,kitchen,sun_aevezokbkeojznwq.jpg,56,21,2,87
165,bathroom,sun_aevqhbysjjdiuhsi.jpg,62,17,19,70
166,lighthouse,sun_aewtvpwulyxhqvuv.jpg,44,25,23,56
167,lighthouse,sun_aexuekaabjwbbuvt.jpg,37,42,12,72
168,bathroom,sun_aezuhrkzpxgayaoe.jpg,44,23,5,68
169,golf_course,sun_aezwbvhlalnojnhr.jpg,29,40,4,74
170,bedroom,sun_afaszflkpeudylof.jpg,36,36,7,70
171,bedroom,sun_afbjqmjyzjmjbqvz.jpg,38,35,2,81
172,kitchen,sun_afdefsrtlbtfdhxq.jpg,41,31,13,64
173,amusement_park,sun_afdkafbjsssoeulg.jpg,82,4,5,86
174,kitchen,sun_affxuywoiiynvatr.jpg,63,22,0,96
175,kitchen,sun_afgbnvgqbsxpomau.jpg,44,14,25,39
176,bedroom,sun_afiltupcwbtnoeiw.jpg,59,24,5,89
177,bathroom,sun_afiowqpldpdkuwey.jpg,76,11,50,41
178,kitchen,sun_afjofbpiualrfwlz.jpg,54,17,5,75
179,lighthouse,sun_afjopnhjwgvktkxk.jpg,61,27,7,90
180,airport_terminal,sun_afllfcpptunjixri.jpg,58,15,1,81
181,golf_course,sun_aflsnycseiotupac.jpg,60,26,18,72
182,bedroom,sun_afmbcjfufoolpcrw.jpg,44,33,13,71
183,highway,sun_afmmsjnzfaijwekd.jpg,60,18,7,74
184,bathroom,sun_afndavqgxpofqinr.jpg,54,18,32,46
185,kitchen,sun_afrjiwlvfcpraawg.jpg,54,20,7,75
186,golf_course,sun_afrwiykoncfkfqtf.jpg,37,48,10,83
187,playground,sun_afrxrafufcfxrtoi.jpg,47,22,19,56
188,highway,sun_afsiwyxkqzjqptpd.jpg,41,28,11,67
189,bedroom,sun_afsuzupuvngxsfrq.jpg,49,28,11,73
190,tower,sun_aftehnxcknplaisj.jpg,52,29,20,71
191,cockpit,sun_aftwfvdrcrbdnxrs.jpg,49,34,4,92
192,bathroom,sun_afwardhqsfwqbohh.jpg,50,29,7,78
193,golf_course,sun_afwoegcwhuwpubly.jpg,45,29,3,83
194,lighthouse,sun_afzibpmwtqaraock.jpg,57,21,20,66
195,lighthouse,sun_agarztfwvurqvfhr.jpg,50,25,3,85
196,cockpit,sun_agasifgwhidxhcfo.jpg,61,4,1,68
197,bathroom,sun_agbpqoxyphbiyhgt.jpg,57,17,13,66
198,bedroom,sun_agbtorupkgxjxawh.jpg,36,32,8,66
199,castle,sun_agchyfcyekibzsii.jpg,38,43,2,90
200,cockpit,sun_agenkchqfjxvsppn.jpg,34,48,24,73
201,lighthouse,sun_agfjcdzejuaqqaye.jpg,46,26,11,67
202,bedroom,sun_aggjhmnvfaruckug.jpg,49,26,24,62
203,airport_terminal,sun_aggtgalfwqduodph.jpg,46,22,8,65
204,bathroom,sun_aggucxlyjihcojwu.jpg,60,8,13,69
205,lighthouse,sun_agijkkwofmkjuajy.jpg,50,13,7,61
206,tower,sun_agiqscflkmqpjcqq.jpg,53,23,7,75
207,bathroom,sun_agjrtiivbwugxhxp.jpg,62,14,23,64
208,kitchen,sun_agldadusrezhmyva.jpg,48,20,10,66
209,castle,sun_agloxzhvkzodurph.jpg,22,46,5,70
210,kitchen,sun_aglwwpjrtjdgrbsy.jpg,51,21,15,63
211,castle,sun_agmewmmqblivekrg.jpg,45,24,10,65
212,castle,sun_agmjrqwlwgukojfm.jpg,32,37,0,78
213,tower,sun_agnaqjmokokynzpy.jpg,40,36,9,75
214,golf_course,sun_agnrtccxffxbnijx.jpg,52,27,11,74
215,tower,sun_agnvgsqtstesfdoe.jpg,51,19,14,64
216,highway,sun_agomgxrzyzlgerdg.jpg,37,32,3,76
217,cockpit,sun_agoqtmhicqrakxqs.jpg,42,26,5,66
218,lighthouse,sun_agpmdtbixzjohdcy.jpg,51,14,11,65
219,castle,sun_agppashpqvhadien.jpg,37,34,1,84
220,kitchen,sun_agqborhpkvvwbvfl.jpg,28,37,0,73
221,bathroom,sun_agqfelptwqubavme.jpg,51,21,3,79
222,castle,sun_agrngltrzaeyxdbn.jpg,45,38,5,86
223,bedroom,sun_agrwhrudhqwmgymg.jpg,59,18,21,62
224,golf_course,sun_agswoygnhiabzikj.jpg,62,15,7,78
225,golf_course,sun_agszvozijlyqqeyn.jpg,45,34,13,77
226,living_room,sun_agurplgrryyaduuh.jpg,28,38,4,71
227,bathroom,sun_agutrrrecjqatydt.jpg,75,6,1,82
228,lighthouse,sun_aguzthvtbyodeefj.jpg,45,33,5,80
229,living_room,sun_agvctqwhcbxfrglt.jpg,27,32,7,62
230,bedroom,sun_agvthqibmformhuh.jpg,50,22,2,77
231,airport_terminal,sun_agvyejqmcrhrvpbo.jpg,51,19,7,71
232,kitchen,sun_agvzntnnphsuqbmn.jpg,33,32,15,55
233,golf_course,sun_agwogizmdwmzeeta.jpg,23,59,13,76
234,airport_terminal,sun_agxjkxyxedwlzvkg.jpg,37,25,10,57
235,airport_terminal,sun_agyrffqdcxgchrqc.jpg,52,18,25,56
236,kitchen,sun_agysnixnkhpsvtmr.jpg,42,15,4,62
237,cockpit,sun_agyxtmzfufmlrhhg.jpg,61,24,20,76
238,golf_course,sun_agyxzigdrogkojwm.jpg,34,35,6,68
239,cockpit,sun_agyzqiuajnnkcluf.jpg,56,21,3,80
240,bedroom,sun_ahaknlgftjqgkcae.jpg,46,22,6,70
241,cockpit,sun_ahaolmzflyoewacy.jpg,61,8,24,53
242,lighthouse,sun_ahbwwdffoiigyxqx.jpg,44,16,2,64
243,bathroom,sun_ahcvzmoyaycdoftf.jpg,43,25,7,70
244,bedroom,sun_ahetfcojrwhljahf.jpg,33,31,3,66
245,bedroom,sun_ahgmyuvxtexeoyhe.jpg,56,13,3,73
246,amusement_park,sun_ahhnjksmytmbzmmp.jpg,58,25,1,84
247,castle,sun_ahidefcuoxlcftrw.jpg,39,31,4,71
248,tower,sun_ahidvbogbayywdsp.jpg,54,20,34,43
249,golf_course,sun_ahlfddloqfpagejm.jpg,28,50,12,74
250,kitchen,sun_ahlifjixdpvtzxbh.jpg,31,48,3,78
251,tower,sun_ahmlukjuxwuinhlt.jpg,35,38,27,55
252,bathroom,sun_ahnfkrnjalaprrmo.jpg,52,11,23,52
253,bedroom,sun_ahnznprnmgkcemfl.jpg,43,22,17,57
254,tower,sun_ahosnxpvpmgvnwvo.jpg,43,25,3,74
255,golf_course,sun_ahphmnxxnwuclnfb.jpg,51,19,12,63
256,kitchen,sun_ahpwonrlyygmzvtx.jpg,47,26,8,74
257,bathroom,sun_ahqdurfcupipljxj.jpg,53,15,7,68
258,bathroom,sun_ahqebvxfidhsttvq.jpg,56,21,11,72
259,kitchen,sun_ahqrrgokszxtlsyi.jpg,57,16,1,78
260,bedroom,sun_ahqumfxtsypzisnh.jpg,66,13,2,85
261,kitchen,sun_ahspylgoovwmwvgk.jpg,44,32,6,78
262,bedroom,sun_ahsqrygzddxtdsxn.jpg,59,29,15,82
263,kitchen,sun_ahywdevtimnqcsln.jpg,52,13,5,72
264,bathroom,sun_ahzcofvcopfrcaaj.jpg,51,21,7,71
265,tower,sun_ahzcupnlcleydwhg.jpg,39,36,7,72
266,golf_course,sun_ahzohpkhrovyqewy.jpg,65,12,1,84
267,golf_course,sun_ahzyzreaawbkanmp.jpg,53,14,5,69
268,airport_terminal,sun_aiaymzoqhwcskhet.jpg,53,26,15,73
269,bedroom,sun_aiazdabwgikqwimy.jpg,61,20,14,74
270,lighthouse,sun_aibtzwejrgcoqnpl.jpg,66,14,6,79
271,bedroom,sun_aicednrnfjpxxeqr.jpg,45,33,5,84
272,lighthouse,sun_aifnvkawmiggbyed.jpg,58,20,14,70
273,lighthouse,sun_aihicjrokkkpzgaw.jpg,40,27,9,66
274,airport_terminal,sun_aihpgihxxnmwqdcd.jpg,44,41,2,93
275,castle,sun_aiicegxfazozobag.jpg,32,37,3,72
276,bedroom,sun_aijhofwjhfopioau.jpg,49,16,8,69
277,kitchen,sun_aijkdpqohzcmjsco.jpg,44,28,8,71
278,tower,sun_aikqfdkgudsaclpg.jpg,45,22,1,73
279,highway,sun_ailjxpgyepocjdos.jpg,45,30,6,78
280,kitchen,sun_ailrmhyjajxxfwjh.jpg,47,31,22,63
281,bedroom,sun_aimafjvqvgcizssk.jpg,56,27,3,89
282,bathroom,sun_ainaeweeykjelyft.jpg,54,18,15,61
283,golf_course,sun_ainnuzoalvhqvxfn.jpg,52,19,22,56
284,highway,sun_ainrijjqsoqpvnrb.jpg,55,25,12,74
285,living_room,sun_ainzlfozoxxasyfe.jpg,36,37,10,72
286,bathroom,sun_aipcsbygnwwfcwxz.jpg,69,10,22,72
287,living_room,sun_aiplotqctietyzng.jpg,46,35,16,74
288,bathroom,sun_aiqbnaagnycfezwb.jpg,60,9,20,56
289,highway,sun_aisasvgawrizoqco.jpg,58,7,0,71
290,castle,sun_aisecutumiowdpll.jpg,55,26,15,73
291,bathroom,sun_aitsjpidonnknvwm.jpg,65,13,22,59
292,kitchen,sun_aitugazcpdxlcexr.jpg,43,26,10,73
293,bedroom,sun_aiuoibqfjilkayjc.jpg,53,24,6,79
294,bedroom,sun_aiwakokoyccrzpsj.jpg,38,43,3,83
295,kitchen,sun_aiwjjxhtgtrwjdsf.jpg,36,26,7,64
296,golf_course,sun_aixfvvnrylnrlhzf.jpg,44,39,7,84
297,bedroom,sun_aixquzbfepavczfw.jpg,50,18,1,71
298,tower,sun_aiyjrnbytpirechl.jpg,55,32,20,75
299,kitchen,sun_aizcycyyvgfcdnzp.jpg,44,28,16,64
300,living_room,sun_aiztxdurlviyfwxz.jpg,30,39,2,72
301,airport_terminal,sun_ajaaftuibfpyjgdw.jpg,42,10,2,59
302,golf_course,sun_ajbmsivshakxezax.jpg,58,18,3,79
303,airport_terminal,sun_ajbphdqxyiykpfzz.jpg,56,14,22,58
304,kitchen,sun_ajbpuqtgjfnvkjvn.jpg,50,33,1,87
305,amusement_park,sun_ajcbmaxmltnwavaf.jpg,58,13,2,77
306,highway,sun_ajcdjtgkqzuynhmw.jpg,42,33,6,75
307,lighthouse,sun_ajcovinkacqkefec.jpg,42,21,12,63
308,kitchen,sun_ajdethecbcfhexju.jpg,42,28,4,77
309,bedroom,sun_ajdpbzpuyfbquayy.jpg,66,14,4,87
310,highway,sun_ajewicelqnljfrit.jpg,51,28,5,80
311,castle,sun_ajfkrprjbqoippnj.jpg,44,34,7,78
312,bathroom,sun_ajfouacauilvobbv.jpg,53,20,8,73
313,cockpit,sun_ajgcwhruedozjdlg.jpg,57,26,45,47
314,bedroom,sun_ajiatvpdubzytycg.jpg,59,23,0,89
315,castle,sun_ajiwpfkjvktnsfjz.jpg,49,25,12,69
316,kitchen,sun_ajjktnfzwntvwsfh.jpg,45,21,8,66
317,bedroom,sun_ajkrcdstxmkfhxid.jpg,72,10,0,92
318,bathroom,sun_ajlfvmneqpseyguf.jpg,62,10,9,79
319,bathroom,sun_ajlpekbqvytdohqb.jpg,50,25,27,59
320,kitchen,sun_ajokwebqmiuzucqo.jpg,48,18,17,59
321,golf_course,sun_ajoobuvknzvshwzw.jpg,54,35,16,82
322,bathroom,sun_ajoxyowepmnjeacj.jpg,39,24,2,70
323,cockpit,sun_ajoywefwrwpjwmoq.jpg,54,18,18,55
324,lighthouse,sun_ajpqtqfwriojkdkc.jpg,41,18,16,51
325,lighthouse,sun_ajqhieessiuavkou.jpg,41,35,9,74
326,lighthouse,sun_ajrujcsdxmfbssmc.jpg,50,41,19,84
327,castle,sun_ajrvfrddsfxranuo.jpg,51,23,8,72
328,kitchen,sun_ajrwezxmmjejxsbt.jpg,45,23,9,62
329,castle,sun_ajslyefzccqcyfto.jpg,35,33,13,64
330,kitchen,sun_ajsmhdhzrfaanynl.jpg,76,16,3,98
331,castle,sun_ajtpwjuaxgznqikg.jpg,40,29,7,72
332,kitchen,sun_ajvklpmjherjgxrt.jpg,51,35,11,85
333,bathroom,sun_ajvmwdczbvurkxzc.jpg,41,18,4,64
334,living_room,sun_ajvylnkvejnlprts.jpg,38,32,6,75
335,kitchen,sun_ajwbpqrwvknlvpeh.jpg,62,10,2,78
336,bedroom,sun_ajwmjxibjslekjap.jpg,48,31,8,81
337,cockpit,sun_ajxhbumxiacsvemz.jpg,60,25,40,52
338,kitchen,sun_ajxqlzmoovksgjbl.jpg,43,31,5,74
339,tower,sun_ajykewqgevckvqbn.jpg,57,9,10,65
340,tower,sun_ajyqmkfvrgyvhxtc.jpg,48,27,24,54
341,bathroom,sun_ajyzthllrejcnemk.jpg,32,46,5,84
342,airport_terminal,sun_ajzouurcdlugixmf.jpg,50,19,8,69
343,bathroom,sun_akbgcqrmfnzuqqdc.jpg,61,19,6,80
344,amusement_park,sun_akbukbnnfbgxvntz.jpg,57,14,6,72
345,kitchen,sun_akchetnepxlcxhsu.jpg,34,55,1,95
346,castle,sun_akcreuotzmufywyi.jpg,47,28,6,78
347,cockpit,sun_akeicfgsblregoek.jpg,51,19,2,77
348,lighthouse,sun_akesqmgzhbvxirpc.jpg,74,4,0,87
349,bedroom,sun_akfumtlumynakqxs.jpg,57,22,19,67
350,living_room,sun_akgsgfelkaxhkmgo.jpg,52,29,1,83
351,golf_course,sun_akhsdwauvqgtfrye.jpg,51,12,6,67
352,bedroom,sun_akixtcxylrncxaec.jpg,42,24,15,58
353,amusement_park,sun_akjcqgflizrnudue.jpg,58,21,0,83
354,golf_course,sun_akjxzdcdwzfximmk.jpg,46,23,8,74
355,tower,sun_akjzhxagmyfxdgxa.jpg,50,27,16,73
356,cockpit,sun_akldatubbmjptwij.jpg,44,20,3,73
357,bedroom,sun_akluwrqhkbaoghnn.jpg,38,41,11,81
358,kitchen,sun_akndyxefbqzbqsqy.jpg,54,9,18,53
359,lighthouse,sun_akngcardamtecqcz.jpg,27,22,0,56
360,golf_course,sun_akqesljoypfqyjdc.jpg,24,48,10,72
361,bathroom,sun_akslfmbzaluffqbm.jpg,58,13,19,63
362,bedroom,sun_akuhjyqagvkhjipl.jpg,38,29,13,64
363,kitchen,sun_akuognalfgmelepa.jpg,69,22,19,77
364,lighthouse,sun_akvfoafgezhfoorz.jpg,32,45,3,86
365,living_room,sun_akvgycniyttaeipg.jpg,24,52,2,84
366,castle,sun_akweggjdiaungqfr.jpg,40,37,23,60
367,bathroom,sun_akwkikfavorknktn.jpg,47,44,1,103
368,kitchen,sun_akwvdhqsbtcesevi.jpg,44,17,11,60
369,kitchen,sun_akxcpkquuuxdiqwv.jpg,31,45,4,81
370,tower,sun_akxxgzkyvjbywjfx.jpg,62,26,3,94
371,castle,sun_akxzsmmjfhzbjgvo.jpg,32,44,13,70
372,bedroom,sun_akzskyczltnifnbv.jpg,42,35,5,77
373,castle,sun_alakxjurlejbdelc.jpg,45,36,14,76
374,living_room,sun_alaoxkdoftpxwxef.jpg,45,26,15,68
375,bedroom,sun_albbdkxhkywegvdy.jpg,36,28,1,66
376,cockpit,sun_albehxzkypbmvpya.jpg,34,26,14,53
377,golf_course,sun_alcrgfmnthjmdeew.jpg,28,42,12,65
378,living_room,sun_aldlswjamivyakzj.jpg,40,42,8,83
379,bedroom,sun_aldovaennorwecnn.jpg,57,20,10,71
380,cockpit,sun_aldygmbaylllmahh.jpg,57,21,31,56
381,golf_course,sun_aleymscxsisnveqp.jpg,30,41,5,75
382,tower,sun_alfamtqauosnstzt.jpg,47,32,17,72
383,castle,sun_alfklkcgxhhyubjz.jpg,63,15,10,77
384,cockpit,sun_algguhlstinnrqnm.jpg,45,28,6,79
385,cockpit,sun_aljjeiqjcsiywtll.jpg,64,14,2,83
386,golf_course,sun_aljophkbqeqvcdgx.jpg,46,33,1,87
387,tower,sun_aljvvarbzchpbtqt.jpg,42,35,12,69
388,golf_course,sun_alkjmjqmptfkwxnj.jpg,54,33,6,89
389,bedroom,sun_alklpnbbuxqgrusg.jpg,44,32,2,79
390,golf_course,sun_alkmbiexzigvkynb.jpg,48,32,8,83
391,highway,sun_allyzeegmzmqzkya.jpg,47,23,1,78
392,cockpit,sun_almlpefjfuplwgvb.jpg,51,20,8,70
393,tower,sun_almsahmqwnywmmmw.jpg,53,35,17,81
394,kitchen,sun_alnurdgpqodhpawt.jpg,34,34,1,78
395,kitchen,sun_alouvjfpycbghnrv.jpg,54,27,11,76
